연 번,건물유형,주  소,위   치,관리번호
1,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-1
2,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-2
3,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-3
4,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-4
5,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-5
6,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-6
7,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-7
8,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-8
9,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-9
10,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-10
11,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-11
12,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-12
13,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-13
14,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-14
15,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-15
16,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-16
17,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-17
18,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-18
19,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-19
20,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-20
21,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-21
22,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-22
23,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-23
24,가로등등주,북가좌동 477,북가좌1동주민센터앞,가재울1-24
25,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-1
26,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-2
27,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-3
28,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-4
29,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-5
30,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-6
31,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-7
32,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-8
33,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-9
34,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-10
35,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-11
36,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-12
37,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-13
38,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-14
39,가로등등주,북가좌동 477,북가좌1동주민센터 건너편,가재울2-15
40,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-1
41,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-2
42,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-3
43,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-4
44,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-5
45,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-6
46,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-7
47,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-8
48,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-9
49,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-10
50,가로등등주,남가좌동 379-1,모래내감리교회앞,가재울3-11
51,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-1
52,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-2
53,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-3
54,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-4
55,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-5
56,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-6
57,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-7
58,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-8
59,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-9
60,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-10
61,가로등등주,남가좌동 78-28,만복부동산앞,가재울3길 1-11
